amplitude,location,response_location,reaction_time
3.12,6,17,0.7325
3.12,0,0,0.424
3.12,0,10,1.0243
3.12,0,0,1.6495
3.12,0,0,0.5003
3.12,2,0,1.9939
3.12,0,0,0.5266
3.12,13,0,0.4466
3.12,0,4,0.7105
3.12,0,0,0.4517
3.12,15,15,0.6048
3.12,3,3,0.7602
3.12,8,0,0.3861
3.12,7,0,0.5919
3.12,0,2,0.7439
3.12,3,0,0.3676
3.12,0,10,0.8702
3.12,0,0,0.6798
3.12,2,2,0.493
3.12,7,15,0.9646
3.12,1,1,0.4793
3.12,19,19,0.7642
3.12,19,19,0.7065
3.12,9,0,0.5498
3.12,0,0,0.3366
3.12,17,17,0.6381
3.12,0,0,0.418
3.12,8,0,0.4569
3.12,0,0,0.5657
3.12,0,0,0.5728
3.12,0,0,0.3325
3.12,11,11,0.5298
3.12,0,0,0.6497
3.12,0,0,0.5364
3.12,0,0,0.4043
3.12,11,11,0.8145
3.12,0,0,0.7383
3.12,6,0,0.3383
3.12,0,0,0.41
3.12,6,0,0.6144
3.12,15,0,0.5801
3.12,0,0,0.546
3.12,0,6,1.0241
3.12,0,0,0.492
3.12,8,8,0.684
3.12,12,12,0.5901
3.12,18,0,0.3764
3.12,0,0,0.3981
3.12,0,0,0.3603
3.12,0,0,0.4299
3.12,0,0,0.5392
3.12,12,0,0.3524
3.12,17,1,0.5141
3.12,8,0,0.3798
3.12,16,0,0.338
3.12,4,4,0.5956
3.12,10,0,0.9538
3.12,7,0,0.4771
3.12,1,1,0.3006
3.12,12,0,0.4608
3.12,12,12,0.7245
3.12,10,10,0.7605
3.12,3,0,0.37
3.12,10,0,0.501
3.12,19,19,1.3096
3.12,4,0,0.399
3.12,0,15,0.7102
3.12,0,0,0.366
3.12,15,15,0.6283
3.12,15,0,0.4525
3.12,3,0,0.5207
3.12,16,0,0.537
3.12,19,19,0.7
3.12,0,15,0.8553
3.12,18,0,0.3463
3.12,0,0,0.8435
3.12,7,0,0.3401
3.12,16,0,0.3086
3.12,0,0,0.3043
3.12,0,0,0.5191
3.12,16,19,1.4745
3.12,0,0,0.5002
3.12,0,0,0.478
3.12,2,2,0.55
3.12,0,0,0.7798
3.12,0,9,0.8451
3.12,0,11,0.818
3.12,5,5,0.7168
3.12,0,0,0.3958
3.12,9,9,0.4541
3.12,11,0,0.3843
3.12,14,14,0.6508
3.12,0,0,0.3838
3.12,0,13,1.1056
3.12,0,0,0.3841
3.12,16,0,0.4923
3.12,0,0,0.8224
3.12,0,0,1.0249
3.12,0,0,0.4541
3.12,5,0,0.4287
3.12,0,0,0.8826
3.12,0,0,0.3519
3.12,12,5,0.7083
3.12,0,0,0.5323
3.12,0,0,0.331
3.12,0,0,0.3425
3.12,0,0,0.3403
3.12,0,0,0.8726
3.12,13,13,0.664
3.12,0,0,0.56
3.12,3,0,0.532
3.12,0,0,0.372
3.12,16,16,0.7159
3.12,0,0,0.3831
3.12,13,13,0.7101
3.12,0,0,0.3224
3.12,0,0,0.3942
3.12,6,0,0.3036
3.12,0,0,0.278
3.12,0,0,0.3425
3.12,0,0,0.6486
3.12,12,0,0.4755
3.12,5,5,0.764
3.12,0,0,0.3724
3.12,3,3,0.8156
3.12,0,11,0.8285
3.12,0,9,0.5502
3.12,0,0,0.8558
3.12,7,7,0.844
3.12,19,0,0.3908
3.12,0,0,0.3347
3.12,0,0,0.2966
3.12,0,0,0.496
3.12,0,0,0.7205
3.12,0,0,0.742
3.12,4,4,0.5265
3.12,0,0,0.3751
3.12,19,0,0.5758
3.12,3,3,0.8517
3.12,3,9,0.588
3.12,0,0,0.9205
3.12,18,0,0.5008
3.12,18,19,0.6022
3.12,5,4,0.6836
3.12,3,0,0.4344
3.12,2,2,0.5257
3.12,0,0,0.4238
3.12,15,15,0.5376
3.12,0,14,0.6762
3.12,0,0,0.5541
3.12,14,14,0.6451
3.12,16,0,0.5559
3.12,0,0,0.4865
3.12,0,0,0.4722
3.12,14,0,0.488
3.12,4,14,0.8459
3.12,15,0,0.4059
3.12,0,0,0.3052
3.12,0,0,0.3557
3.12,18,18,0.5561
3.12,0,0,0.3726
3.12,13,13,0.8954
3.12,0,0,0.5199
3.12,0,0,0.3802
3.12,0,0,0.3661
3.12,7,0,0.9485
3.12,18,0,0.4426
3.12,2,2,0.6562
3.12,0,0,0.4485
3.12,0,0,0.4284
3.12,16,16,0.7465
3.12,1,0,0.622
3.12,14,14,1.0445
3.12,3,0,0.5038
3.12,0,0,0.4328
3.12,18,0,0.5238
3.12,0,0,0.352
3.12,3,3,0.6964
3.12,8,0,0.3108
3.12,15,15,0.3029
3.12,0,0,0.6593
3.12,0,0,0.4159
3.12,0,0,0.8957
3.12,17,0,0.3181
3.12,11,11,0.5525
3.12,0,0,0.3302
3.12,0,0,0.4164
3.12,13,13,0.4866
3.12,11,0,0.29
3.12,0,0,0.4875
3.12,2,0,0.4554
3.12,0,19,1.804
3.12,0,0,0.4118
3.12,0,0,0.3961
3.12,2,2,0.587
3.12,18,13,0.5864
3.12,3,3,0.6998
3.12,0,0,0.2944
3.12,12,0,0.2801
3.12,0,4,0.9227
3.12,0,15,0.6425
3.12,10,10,0.5528
3.12,0,0,1.6567
3.12,9,15,0.8542
3.12,15,15,0.48
3.12,5,5,0.5505
3.12,0,0,0.532
3.12,14,0,0.5498
3.12,17,0,0.4756
3.12,5,0,0.5934
3.12,0,0,0.2806
3.12,5,0,0.6528
3.12,0,0,0.6931
3.12,0,0,0.4545
3.12,0,0,0.3545
3.12,0,0,0.3641
3.12,14,14,0.696
3.12,0,0,0.421
3.12,9,0,0.5726
3.12,1,1,0.3402
3.12,12,12,0.715
3.12,0,16,0.8545
3.12,8,0,0.7355
3.12,0,0,0.2903
3.12,18,0,0.4807
3.12,0,0,0.3959
3.12,0,0,0.632
3.12,17,17,0.5839
3.12,0,0,0.2737
3.12,0,0,0.3343
3.12,0,17,0.8038
3.12,2,2,0.4581
3.12,0,0,0.4565
3.12,0,0,0.378
3.12,0,0,0.4343
3.12,3,0,0.3527
3.12,15,15,0.6095
3.12,0,0,0.4104
3.12,0,17,0.7171
3.12,0,0,0.3279
3.12,9,9,0.9374
3.12,0,0,0.3959
3.12,16,0,0.8301
3.12,3,3,0.7359
3.12,6,6,0.8322
3.12,0,0,0.3599
3.12,2,2,0.5384
3.12,10,0,0.4185
3.12,0,17,0.9741
3.12,17,0,0.3323
3.12,1,1,0.2065
3.12,0,0,0.5029
3.12,17,0,0.5406
3.12,6,0,0.488
3.12,0,0,0.3622
3.12,19,0,0.3364
3.12,13,13,0.755
3.12,0,0,0.3082
3.12,17,13,0.6263
3.12,0,0,0.8921
3.12,6,0,0.4187
3.12,0,0,0.3285
3.12,17,0,0.4808
3.12,0,0,0.5757
3.12,0,0,0.3529
3.12,0,0,0.4958
3.12,1,1,0.7062
3.12,11,0,0.7456
3.12,0,13,0.5404
3.12,6,0,0.5265
3.12,0,0,0.4684
3.12,0,4,0.8648
3.12,0,0,0.3419
3.12,0,0,0.4542
3.12,13,13,0.7086
3.12,0,0,0.2841
3.12,2,2,0.6256
3.12,0,0,0.3863
3.12,10,0,0.6164
3.12,6,0,0.379
3.12,0,0,0.6441
3.12,0,0,0.34
3.12,0,0,0.4658
3.12,0,11,0.6938
3.12,0,9,0.5282
3.12,5,5,0.5949
3.12,0,0,0.5204
3.12,0,1,0.5609
3.12,7,0,0.7363
3.12,12,0,0.7781
3.12,0,0,0.6262
3.12,0,0,0.3218
3.12,0,0,0.4962
3.12,0,8,0.7344
3.12,3,0,0.7336
3.12,0,0,0.8718
3.12,15,15,0.5019
3.12,5,5,1.2706
3.12,11,11,0.4245
3.12,0,0,0.5198
3.12,6,0,0.3381
3.12,0,0,0.3104
3.12,1,1,0.5054
3.12,15,15,0.5217
3.12,0,0,0.4016
3.12,5,5,0.6996
3.12,5,14,0.802
3.12,0,0,0.5541
3.12,0,0,0.4001
3.12,17,17,0.7423
3.12,0,0,0.4222
3.12,0,0,0.5622
3.12,6,0,0.3279
3.12,3,3,0.5146
3.12,0,0,0.352
3.12,19,0,0.2938
3.12,0,0,0.4562
3.12,0,0,0.2906
3.12,0,0,0.4376
3.12,0,3,0.5819
3.12,2,0,1.548
3.12,0,0,0.4742
3.12,14,14,0.5446
3.12,0,0,0.6258
3.12,5,5,0.6256
3.12,15,15,0.4182
3.12,17,0,0.4441
3.12,12,0,0.5764
3.12,0,0,0.4268
3.12,0,0,0.4768
3.12,0,0,0.6202
3.12,0,0,0.3678
3.12,9,9,0.6253
3.12,0,9,0.6006
3.12,15,15,0.5105
3.12,13,13,0.8936
3.12,3,0,0.2702
3.12,17,0,1.218
3.12,6,2,0.4943
3.12,0,0,0.4081
3.12,16,16,0.9835
3.12,0,0,0.76
3.12,0,0,0.4418
3.12,3,3,0.7741
3.12,0,0,0.3363
3.12,15,15,0.4667
3.12,0,0,0.302
3.12,4,4,0.8919
3.12,0,0,0.3281
3.12,0,0,0.4244
3.12,5,9,0.86
3.12,3,3,0.5884
3.12,0,0,0.3461
3.12,0,0,0.3865
3.12,0,0,0.5959
3.12,0,0,0.4042
3.12,5,0,0.3481
3.12,0,0,0.5583
3.12,17,17,0.7402
3.12,16,16,0.602
3.12,14,0,0.4256
3.12,6,0,0.4424
3.12,19,19,0.5799
3.12,12,0,0.4425
3.12,0,0,0.3361
3.12,1,1,0.3161
3.12,16,15,0.6484
3.12,17,0,0.4452
3.12,5,5,1.0421
3.12,0,0,0.5694
3.12,15,15,0.3963
3.12,4,4,1.0339
3.12,2,2,0.496
3.12,0,0,0.4201
3.12,0,0,0.3663
3.12,15,15,0.4081
3.12,0,0,0.3436
3.12,0,0,0.3037
3.12,0,0,0.36
3.12,0,0,0.5838
3.12,0,0,0.3557
3.12,5,0,0.3224
3.12,7,9,0.9341
3.12,0,0,0.582
3.12,0,0,0.4399
3.12,19,19,0.6956
3.12,8,0,0.8451
3.12,0,0,0.3548
3.12,4,0,0.3769
3.12,0,18,1.0754
3.12,3,3,0.6936
3.12,12,12,0.521
3.12,0,0,0.4861
3.12,19,0,0.3444
3.12,13,13,0.5484
3.12,0,0,0.309
3.12,6,0,0.4744
3.12,0,12,0.8036
3.12,0,0,0.3402
3.12,12,0,0.2908
3.12,17,17,0.8915
3.12,1,0,0.3541
3.12,9,9,0.465
3.12,14,14,0.7418
3.12,6,9,0.5064
3.12,0,0,0.4159
3.12,1,1,0.327
3.12,5,5,0.8176
3.12,12,12,0.7272
3.12,0,0,0.5045
3.12,0,0,0.3648
3.12,5,0,0.6883
3.12,5,0,0.3641
3.12,3,0,0.4001
3.12,0,17,0.8417
3.12,3,0,0.3499
3.12,5,14,0.8126
3.12,13,0,0.9782
3.12,19,9,0.7962
3.12,16,16,0.7258
3.12,0,0,0.5165
3.12,7,0,0.3464
3.12,12,0,0.447
3.12,17,0,0.3821
3.12,0,0,0.8062
3.12,0,0,0.3757
3.12,19,19,0.9807
3.12,4,14,0.8596
3.12,15,15,0.4936
3.12,1,1,0.7064
3.12,0,0,0.5083
3.12,7,0,0.5178
3.12,19,0,0.3061
3.12,0,0,0.4194
3.12,3,0,0.3998
3.12,1,19,0.7744
3.12,0,0,0.3245
3.12,10,10,0.7655
3.12,0,0,0.4044
3.12,0,0,0.5001
3.12,4,4,0.8878
3.12,16,16,0.8505
3.12,0,0,0.3667
3.12,8,0,0.6184
3.12,11,11,0.3619
3.12,13,13,0.7721
3.12,5,0,0.6303
3.12,14,0,0.6425
3.12,0,0,0.8642
3.12,0,0,0.4024
3.12,0,0,0.3401
3.12,14,0,0.4281
3.12,0,14,0.7752
3.12,0,0,0.4081
3.12,16,0,0.4886
3.12,14,14,0.7024
3.12,0,0,0.3979
3.12,9,9,0.6632
3.12,6,0,0.3825
3.12,15,9,0.7105
3.12,6,0,0.416
3.12,0,0,0.3611
3.12,0,0,0.5799
3.12,5,6,0.9044
3.12,0,0,0.4823
3.12,0,0,0.4885
3.12,0,0,0.2865
3.12,10,10,0.6043
3.12,11,11,0.7485
3.12,13,13,0.7062
3.12,15,0,0.4519
3.12,0,0,0.4981
3.12,0,11,0.5348
3.12,7,0,0.3984
3.12,0,0,0.3919
3.12,10,0,0.8595
3.12,0,0,0.2805
3.12,0,2,0.5147
3.12,0,0,0.3357
3.12,0,0,0.29
3.12,0,19,1.5333
3.12,9,9,0.6631
3.12,12,0,0.7105
3.12,0,0,0.4089
3.12,16,0,0.6722
3.12,0,0,0.3806
3.12,0,0,0.5257
3.12,17,0,0.4401
3.12,0,0,0.6538
3.12,0,10,1.0523
3.12,16,16,0.6975
3.12,0,19,1.3016
3.12,0,0,0.3341
3.12,2,2,0.486
3.12,0,0,0.6782
3.12,0,0,0.4738
3.12,0,0,0.364
3.12,0,0,0.3782
3.12,0,11,0.4791
3.12,9,9,0.6424
3.12,15,15,0.622
3.12,5,0,0.3541
3.12,11,11,0.3902
3.12,15,15,0.3483
3.12,16,16,0.6186
3.12,1,1,0.4724
3.12,6,18,0.9343
3.12,19,19,0.6839
3.12,13,13,0.5014
3.12,0,0,0.3581
3.12,0,19,0.8499
3.12,0,0,0.3666
3.12,14,14,0.5618
3.12,10,0,0.4146
3.12,18,18,0.6638
3.12,8,0,0.3723
3.12,12,0,0.3001
3.12,0,0,0.299
3.12,1,1,0.6246
3.12,0,0,0.277
3.12,0,0,0.4868
3.12,12,18,0.8245
3.12,0,14,0.7302
3.12,0,0,0.4683
3.12,0,5,0.4962
3.12,0,0,0.5237
3.12,0,0,0.4106
3.12,1,1,0.2603
3.12,9,0,0.5236
3.12,9,9,0.462
3.12,0,0,0.3284
3.12,14,14,0.5363
3.12,8,0,0.4842
3.12,2,2,0.6043
3.12,0,0,0.464
3.12,16,0,0.6462
3.12,1,1,0.3243
3.12,0,0,0.37
3.12,0,0,0.5126
3.12,19,19,0.6714
3.12,15,15,0.4885
3.12,9,9,0.5557
3.12,0,1,0.9517
3.12,0,0,0.346
3.12,0,0,0.3385
3.12,0,0,0.3389
3.12,0,0,0.419
3.12,18,0,0.4169
3.12,10,0,0.4924
3.12,2,2,0.779
3.12,0,0,0.5436
3.12,13,13,0.712
3.12,1,0,0.5083
3.12,0,0,0.3785
3.12,0,0,0.4845
3.12,12,19,0.7119
3.12,0,0,0.2827
3.12,8,0,0.2795
3.12,4,0,0.3506
3.12,8,0,0.2943
3.12,0,0,0.6018
3.12,0,0,0.9077
3.12,0,0,1.0695
3.12,0,0,0.5981
3.12,0,0,0.5043
