session,amplitude,location,response_location,reaction_time
1,3.12,0,0,0.539
1,3.12,2,2,0.5421
1,3.12,15,15,0.4344
1,3.12,0,0,0.2732
1,3.12,2,2,0.4522
1,3.12,0,0,0.4447
1,3.12,0,0,0.3462
1,3.12,0,0,0.5767
1,3.12,1,1,0.6402
1,3.12,15,15,0.4482
1,3.12,0,2,0.4946
1,3.12,0,0,0.3842
1,3.12,1,1,0.5064
1,3.12,11,11,0.5199
1,3.12,0,0,0.4886
1,3.12,10,0,0.434
1,3.12,14,14,0.5382
1,3.12,0,0,0.5381
1,3.12,0,15,0.6185
1,3.12,0,0,0.361
2,3.12,0,10,0.6162
2,3.12,1,1,0.4702
2,3.12,11,11,0.4853
2,3.12,0,0,0.5223
2,3.12,11,11,0.4716
2,3.12,1,1,0.4715
2,3.12,0,0,0.5379
2,3.12,15,15,0.4882
2,3.12,10,10,0.8516
2,3.12,0,0,0.6251
2,3.12,11,11,0.4904
2,3.12,2,0,0.4737
2,3.12,0,0,0.5312
2,3.12,0,0,0.4822
2,3.12,11,11,0.4826
2,3.12,0,0,0.3722
2,3.12,9,9,0.584
2,3.12,15,11,0.7878
2,3.12,15,0,0.4899
2,3.12,0,0,0.5676
3,3.12,0,1,0.5639
3,3.12,0,0,0.3443
3,3.12,0,0,0.5459
3,3.12,0,0,0.7339
3,3.12,2,2,0.5183
3,3.12,2,2,0.4704
3,3.12,15,9,2.3635
3,3.12,2,2,0.5073
3,3.12,0,1,0.5102
3,3.12,2,0,0.7694
3,3.12,0,0,0.3665
3,3.12,2,2,0.5285
3,3.12,0,0,0.3653
3,3.12,9,9,0.5195
3,3.12,15,15,0.4376
3,3.12,0,0,0.3412
3,3.12,0,0,0.3022
3,3.12,14,14,0.4984
3,3.12,2,0,0.3327
3,3.12,0,0,0.3504
4,3.12,10,10,0.5659
4,3.12,14,14,0.5284
4,3.12,9,0,0.5185
4,3.12,9,0,0.6778
4,3.12,0,0,0.5929
4,3.12,0,0,0.6862
4,3.12,14,14,0.5764
4,3.12,2,2,0.6202
4,3.12,0,0,0.5858
4,3.12,0,0,0.4363
4,3.12,10,10,0.64
4,3.12,11,11,0.5396
4,3.12,10,10,0.6763
4,3.12,0,14,0.7421
4,3.12,0,0,0.3779
4,3.12,0,0,0.6059
4,3.12,15,0,0.3804
4,3.12,9,0,0.5623
4,3.12,14,14,0.4698
4,3.12,9,9,0.4976
1,3.12,14,14,0.6873
1,3.12,15,15,0.3887
1,3.12,1,1,0.418
1,3.12,0,0,0.3224
1,3.12,0,15,0.6549
1,3.12,11,11,0.4626
1,3.12,9,0,0.6302
1,3.12,1,1,0.434
1,3.12,0,0,0.6348
1,3.12,0,0,0.4122
1,3.12,11,11,0.4878
1,3.12,9,9,0.5197
1,3.12,0,0,0.5409
1,3.12,2,2,0.5159
1,3.12,11,11,0.4312
1,3.12,0,0,0.3566
1,3.12,1,1,0.4543
1,3.12,0,0,0.3859
1,3.12,0,0,0.4137
1,3.12,0,0,0.4569
2,3.12,15,15,0.4597
2,3.12,2,2,0.5573
2,3.12,0,0,0.4681
2,3.12,0,0,0.4316
2,3.12,11,11,0.5417
2,3.12,10,10,0.68
2,3.12,9,9,0.5895
2,3.12,15,15,0.5503
2,3.12,0,0,0.468
2,3.12,9,0,0.3831
2,3.12,11,11,0.4661
2,3.12,1,1,0.4118
2,3.12,0,0,0.3739
2,3.12,14,14,0.5418
2,3.12,1,1,0.4361
2,3.12,2,2,0.5672
2,3.12,1,1,0.438
2,3.12,10,10,0.4521
2,3.12,10,0,0.7384
2,3.12,10,10,0.5059
3,3.12,2,2,0.4737
3,3.12,0,0,0.4283
3,3.12,15,15,0.4823
3,3.12,0,0,0.3806
3,3.12,0,0,0.3185
3,3.12,2,2,0.4667
3,3.12,11,11,0.5297
3,3.12,0,0,0.3058
3,3.12,0,0,0.2811
3,3.12,14,14,0.5265
3,3.12,2,2,0.4467
3,3.12,9,0,0.336
3,3.12,14,14,0.4902
3,3.12,9,9,0.3977
3,3.12,0,0,0.3318
3,3.12,14,14,0.4821
3,3.12,0,0,0.3729
3,3.12,0,0,0.5545
3,3.12,15,15,0.5166
3,3.12,0,0,0.8493
4,3.12,11,11,0.4521
4,3.12,0,0,0.3539
4,3.12,10,10,0.5812
4,3.12,2,2,0.4408
4,3.12,2,0,0.5494
4,3.12,0,0,0.3285
4,3.12,0,0,0.4963
4,3.12,0,0,0.3642
4,3.12,10,10,0.6363
4,3.12,0,0,0.6178
4,3.12,9,9,0.6303
4,3.12,2,2,0.4974
4,3.12,0,0,0.4118
4,3.12,9,9,0.5487
4,3.12,15,15,0.5037
4,3.12,15,15,0.4681
4,3.12,2,2,0.5518
4,3.12,0,0,0.3378
4,3.12,0,0,0.3066
4,3.12,14,14,0.4782
1,3.12,2,2,0.7669
1,3.12,14,14,0.4564
1,3.12,14,14,0.5092
1,3.12,0,0,0.4465
1,3.12,0,0,0.6803
1,3.12,0,0,0.3439
1,3.12,2,2,0.5225
1,3.12,0,0,0.5101
