amplitude,location,response_location,reaction_time
3.12,0,0,0.2694
3.12,0,0,0.4231
3.12,0,0,0.3365
3.12,0,0,0.2684
3.12,1,1,0.1792
3.12,0,0,0.2739
3.12,1,1,0.2403
3.12,1,1,0.2585
3.12,0,0,0.3041
3.12,0,0,0.3223
3.12,1,1,0.2801
3.12,0,0,0.2879
3.12,1,1,0.3121
3.12,1,1,0.2141
3.12,0,0,0.2718
3.12,0,0,0.2562
3.12,0,0,0.2661
3.12,0,0,0.3937
3.12,1,1,0.3341
3.12,1,1,0.2019
3.12,0,0,0.3798
3.12,1,1,0.2797
3.12,0,0,0.5437
3.12,1,1,0.2522
3.12,1,1,0.2218
3.12,1,1,0.2319
3.12,1,1,0.2182
3.12,0,0,0.316
3.12,1,1,0.1861
3.12,1,1,0.23
3.12,1,1,0.298
3.12,0,0,0.2544
3.12,0,0,0.2625
3.12,1,1,0.31
3.12,0,0,0.2998
3.12,1,1,0.1859
3.12,1,1,0.1323
3.12,0,0,0.2178
3.12,0,0,0.2062
3.12,0,0,0.2241
3.12,0,0,0.2102
3.12,1,1,0.1721
3.12,0,0,0.1842
3.12,1,1,0.1621
3.12,0,0,0.2559
3.12,0,0,0.2159
3.12,1,1,0.22
3.12,0,0,0.1981
3.12,0,0,0.2418
3.12,0,0,0.2418
3.12,0,0,0.1962
3.12,0,0,0.2399
3.12,0,0,0.312
3.12,0,0,0.2219
3.12,0,0,0.3218
3.12,1,1,0.154
3.12,0,0,0.2939
3.12,0,0,0.2918
3.12,1,1,0.2439
3.12,1,1,0.1319
3.12,0,0,0.3481
3.12,0,0,0.5223
3.12,2,2,0.2804
3.12,2,2,0.3418
3.12,2,2,0.3418
3.12,2,2,0.4516
3.12,2,2,0.3958
3.12,2,2,0.3498
3.12,2,2,0.4198
3.12,2,2,0.422
3.12,0,0,0.4799
3.12,2,2,0.36
3.12,2,2,0.3161
3.12,2,2,0.3878
3.12,2,2,0.43
3.12,0,0,0.3678
3.12,2,2,0.4916
3.12,2,0,0.4739
3.12,0,2,0.5418
3.12,2,2,0.3759
3.12,0,2,0.5076
3.12,0,0,0.338
3.12,2,2,0.3358
3.12,0,2,0.3578
3.12,2,2,0.3798
3.12,2,0,0.4701
3.12,2,2,0.3361
3.12,2,2,0.2464
3.12,2,2,0.2718
3.12,2,2,0.2781
3.12,2,2,0.4398
3.12,2,2,0.2359
3.12,2,2,0.3099
3.12,2,2,0.2978
3.12,0,0,0.2723
3.12,0,0,0.2563
3.12,2,0,0.3461
3.12,0,0,0.1897
3.12,2,2,0.28
3.12,0,0,0.3841
3.12,2,2,0.316
3.12,0,0,0.4338
3.12,0,0,0.5237
3.12,2,2,0.2418
3.12,2,2,0.416
3.12,2,2,0.2759
3.12,2,2,0.2838
3.12,0,2,0.3401
3.12,0,2,0.5439
3.12,0,0,0.4779
3.12,2,2,0.3163
3.12,0,0,0.4041
3.12,2,2,0.383
3.12,0,0,0.3659
3.12,2,2,0.3598
3.12,2,0,0.39
3.12,2,2,0.282
3.12,2,0,0.442
3.12,0,0,0.3763
3.12,0,2,0.3719
3.12,0,0,0.4062
3.12,0,3,0.496
3.12,3,0,0.44
3.12,3,3,0.3697
3.12,3,3,0.4161
3.12,3,0,0.3937
3.12,3,0,0.462
3.12,3,0,0.424
3.12,3,3,0.3938
3.12,3,3,0.4278
