id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.9795918367346939,0.02040816326530612,0.0079155672823219,49,48,1,3,0,0,-1.0
2,4.0,0.8620689655172413,0.13793103448275862,0.002638522427440633,58,50,8,1,0,0,0.0
9,4.0,0.7192982456140351,0.2631578947368421,0.0158311345646438,57,41,15,6,1,1,0.333
10,4.0,0.7627118644067796,0.22033898305084745,0.005277044854881266,59,45,13,2,1,0,0.167
11,4.0,0.8611111111111112,0.125,0.018469656992084433,72,62,9,7,1,1,0.5
14,4.0,0.9649122807017544,0.03508771929824561,0.0395778364116095,57,55,2,15,0,2,0.667
15,4.0,0.8405797101449275,0.13043478260869565,0.013192612137203167,69,58,9,5,2,0,0.833
