session,amplitude,location,response_location,reaction_time
1,3.12,0,0,0.2694
1,3.12,0,0,0.4231
1,3.12,0,0,0.3365
1,3.12,0,0,0.2684
1,3.12,1,1,0.1792
1,3.12,0,0,0.2739
1,3.12,1,1,0.2403
1,3.12,1,1,0.2585
1,3.12,0,0,0.3041
1,3.12,0,0,0.3223
1,3.12,1,1,0.2801
1,3.12,0,0,0.2879
1,3.12,1,1,0.3121
1,3.12,1,1,0.2141
1,3.12,0,0,0.2718
1,3.12,0,0,0.2562
1,3.12,0,0,0.2661
1,3.12,0,0,0.3937
1,3.12,1,1,0.3341
1,3.12,1,1,0.2019
1,3.12,0,0,0.3798
1,3.12,1,1,0.2797
1,3.12,0,0,0.5437
1,3.12,1,1,0.2522
1,3.12,1,1,0.2218
1,3.12,1,1,0.2319
1,3.12,1,1,0.2182
1,3.12,0,0,0.316
1,3.12,1,1,0.1861
1,3.12,1,1,0.23
2,3.12,1,1,0.298
2,3.12,0,0,0.2544
2,3.12,0,0,0.2625
2,3.12,1,1,0.31
2,3.12,0,0,0.2998
2,3.12,1,1,0.1859
2,3.12,1,1,0.1323
2,3.12,0,0,0.2178
2,3.12,0,0,0.2062
2,3.12,0,0,0.2241
2,3.12,0,0,0.2102
2,3.12,1,1,0.1721
2,3.12,0,0,0.1842
2,3.12,1,1,0.1621
2,3.12,0,0,0.2559
2,3.12,0,0,0.2159
2,3.12,1,1,0.22
2,3.12,0,0,0.1981
2,3.12,0,0,0.2418
2,3.12,0,0,0.2418
2,3.12,0,0,0.1962
2,3.12,0,0,0.2399
2,3.12,0,0,0.312
2,3.12,0,0,0.2219
2,3.12,0,0,0.3218
2,3.12,1,1,0.154
2,3.12,0,0,0.2939
2,3.12,0,0,0.2918
2,3.12,1,1,0.2439
2,3.12,1,1,0.1319
1,3.12,0,0,0.3481
1,3.12,0,0,0.5223
1,3.12,2,2,0.2804
1,3.12,2,2,0.3418
1,3.12,2,2,0.3418
1,3.12,2,2,0.4516
1,3.12,2,2,0.3958
1,3.12,2,2,0.3498
1,3.12,2,2,0.4198
1,3.12,2,2,0.422
1,3.12,0,0,0.4799
1,3.12,2,2,0.36
1,3.12,2,2,0.3161
1,3.12,2,2,0.3878
1,3.12,2,2,0.43
1,3.12,0,0,0.3678
1,3.12,2,2,0.4916
1,3.12,2,0,0.4739
1,3.12,0,2,0.5418
1,3.12,2,2,0.3759
1,3.12,0,2,0.5076
1,3.12,0,0,0.338
1,3.12,2,2,0.3358
1,3.12,0,2,0.3578
1,3.12,2,2,0.3798
1,3.12,2,0,0.4701
1,3.12,2,2,0.3361
