session,amplitude,location,response_location,reaction_time
3,3.12,15,15,0.6045
3,3.12,8,0,0.4761
3,3.12,0,0,0.4741
3,3.12,4,4,0.7822
3,3.12,10,10,0.481
3,3.12,13,0,0.596
4,3.12,0,0,0.6497
4,3.12,19,19,0.7
4,3.12,16,16,0.7159
4,3.12,0,0,0.4865
4,3.12,0,0,0.4118
4,3.12,0,0,0.4565
4,3.12,0,0,0.3419
4,3.12,6,0,0.3279
4,3.12,0,0,0.3461
4,3.12,0,0,0.4861
4,3.12,19,0,0.3061
4,3.12,0,11,0.5348
4,3.12,14,14,0.5618
4,3.12,1,0,0.5083
4,3.12,0,0,0.4917
4,3.12,19,0,0.3564
4,3.12,10,10,0.594
4,3.12,6,6,0.7399
4,3.12,0,17,0.562
4,3.12,15,15,0.6077
1,3.12,0,0,1.6495
1,3.12,0,0,0.492
1,3.12,2,2,0.55
1,3.12,0,0,0.3724
1,3.12,0,0,0.3802
1,3.12,9,15,0.8542
1,3.12,3,3,0.7359
1,3.12,0,11,0.6938
1,3.12,0,0,0.6258
1,3.12,12,0,0.4425
1,3.12,14,14,0.7418
1,3.12,8,0,0.6184
1,3.12,0,0,0.4089
1,3.12,0,0,0.4683
1,3.12,0,0,0.5981
1,3.12,5,15,0.536
1,3.12,12,0,0.4086
1,3.12,0,0,0.4921
1,3.12,0,0,0.382
1,3.12,0,0,0.6763
2,3.12,7,0,0.5919
2,3.12,8,0,0.3798
2,3.12,0,13,1.1056
2,3.12,0,0,0.7205
2,3.12,3,0,0.5038
2,3.12,0,0,0.4545
2,3.12,6,0,0.488
2,3.12,0,8,0.7344
2,3.12,0,9,0.6006
2,3.12,0,0,0.4201
2,3.12,3,0,0.4001
2,3.12,0,0,0.4081
2,3.12,2,2,0.486
2,3.12,2,2,0.6043
2,3.12,0,0,0.3085
2,3.12,0,0,0.3601
2,3.12,13,13,0.6125
2,3.12,11,11,0.4879
2,3.12,0,0,0.3021
2,3.12,15,15,0.4716
3,3.12,9,0,0.5498
3,3.12,10,0,0.501
3,3.12,0,0,0.5323
3,3.12,5,4,0.6836
3,3.12,17,0,0.3181
3,3.12,0,0,0.2903
3,3.12,0,0,0.5757
3,3.12,15,15,0.5217
3,3.12,3,3,0.7741
3,3.12,0,0,0.582
3,3.12,17,0,0.3821
3,3.12,5,6,0.9044
3,3.12,15,15,0.3483
3,3.12,0,0,0.346
3,3.12,0,0,0.511
3,3.12,7,0,0.3945
3,3.12,0,0,0.5077
3,3.12,0,0,0.3845
3,3.12,0,0,0.3564
3,3.12,0,0,0.2809
4,3.12,0,0,0.5364
4,3.12,0,15,0.8553
4,3.12,0,0,0.3831
4,3.12,0,0,0.4722
4,3.12,0,0,0.3961
4,3.12,0,0,0.378
4,3.12,0,0,0.4542
4,3.12,3,3,0.5146
4,3.12,0,0,0.3865
4,3.12,19,0,0.3444
4,3.12,0,0,0.4194
4,3.12,7,0,0.3984
4,3.12,10,0,0.4146
4,3.12,0,0,0.3785
4,3.12,0,0,0.3718
4,3.12,2,0,0.366
4,3.12,4,0,0.3605
4,3.12,0,0,0.3968
4,3.12,0,0,0.3161
4,3.12,0,0,0.5469
1,3.12,0,0,0.5003
1,3.12,8,8,0.684
1,3.12,0,0,0.7798
1,3.12,3,3,0.8156
1,3.12,0,0,0.3661
1,3.12,15,15,0.48
1,3.12,6,6,0.8322
1,3.12,0,9,0.5282
1,3.12,5,5,0.6256
1,3.12,0,0,0.3361
1,3.12,6,9,0.5064
1,3.12,11,11,0.3619
1,3.12,16,0,0.6722
1,3.12,0,5,0.4962
1,3.12,0,0,0.5043
1,3.12,1,1,0.2923
1,3.12,0,0,0.6022
1,3.12,0,0,0.4241
1,3.12,0,0,0.6559
1,3.12,0,10,0.6098
2,3.12,0,2,0.7439
2,3.12,16,0,0.338
2,3.12,0,0,0.3841
2,3.12,0,0,0.742
2,3.12,0,0,0.4328
2,3.12,0,0,0.3545
2,3.12,0,0,0.3622
2,3.12,3,0,0.7336
