session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,9.0,0.11598,0.00764,1.28343,1,1,0.1676
1,9.0,0.14516,-0.03222,0.92015,1,1,0.1517
1,9.0,0.1376,-0.02275,0.97729,0,0,0.2713
1,9.0,0.12788,0.02673,1.05678,0,0,0.3575
1,9.0,0.13709,-0.05205,0.82595,0,0,0.2607
1,9.0,0.14419,-0.01341,2.40387,0,0,0.2844
1,9.0,0.11633,0.017,1.0743,1,1,0.2512
1,9.0,0.13185,-0.00248,0.92338,1,1,0.3545
1,9.0,0.13791,-0.06843,0.94047,0,0,0.3267
1,9.0,0.13452,0.03257,0.81772,1,1,0.3928
1,9.0,0.14418,-0.05125,0.78361,1,0,0.4233
1,9.0,0.11595,-0.02812,0.87063,0,0,0.2779
1,9.0,0.13512,-0.05763,1.0039,0,1,0.4053
1,9.0,0.12945,0.04957,1.40879,0,0,0.3018
1,9.0,0.14204,-0.0093,1.14009,1,1,0.2596
1,9.0,0.13877,-0.02849,0.88244,1,1,0.2674
1,9.0,0.11778,0.01017,0.87774,1,1,0.2419
1,9.0,0.1299,0.03673,0.78609,0,0,0.3209
1,9.0,0.12024,0.0219,0.94914,0,0,0.3351
1,9.0,0.12199,0.03076,1.01234,0,0,0.3517
1,9.0,0.1139,0.0331,0.91215,1,1,0.2864
1,9.0,0.13167,-0.00729,1.50777,0,0,0.2377
1,9.0,0.13046,0.02065,1.36377,0,0,0.2384
1,9.0,0.138,-0.01961,0.81641,0,0,0.2762
1,9.0,0.11972,0.03047,0.87467,1,1,0.2624
1,9.0,0.11348,0.00379,0.91046,0,0,0.2022
1,9.0,0.12974,-0.02043,0.90408,0,0,0.3128
1,9.0,0.13993,-0.00613,0.76465,1,1,0.2167
1,9.0,0.14317,-0.01291,0.84473,0,0,0.2699
1,9.0,0.12347,0.05132,0.93065,0,1,0.2216
1,9.0,0.1254,-0.0323,0.88598,0,0,0.4684
1,9.0,0.13515,-0.02494,1.1927,1,1,0.4005
1,9.0,0.13026,0.0221,1.11583,0,0,0.3144
1,9.0,0.13226,-0.02676,1.00873,1,1,0.2013
1,9.0,0.13237,0.00216,0.95835,1,1,0.3759
1,9.0,0.1317,0.0333,4.60229,1,1,0.2314
1,9.0,0.13542,-0.04149,2.14726,0,0,0.318
1,9.0,0.14585,0.01175,1.70812,1,1,0.2674
1,9.0,0.12676,-0.02106,0.99468,0,0,0.2768
1,9.0,0.11389,-0.00092,0.90371,0,0,0.3877
1,9.0,0.12127,-0.05624,0.83666,1,1,0.2739
1,9.0,0.11813,0.05399,0.96962,1,1,0.2099
1,9.0,0.14078,-0.03149,1.30969,0,0,0.3018
1,9.0,0.1366,0.03344,1.02595,1,1,0.4075
1,9.0,0.13253,0.02964,0.81553,1,1,0.2791
1,9.0,0.13363,0.0411,0.9656,0,0,0.2774
1,9.0,0.11331,0.03203,0.89618,1,1,0.2129
1,9.0,0.14841,0.01862,0.82916,1,1,0.4116
1,9.0,0.1045,0.03547,1.34147,0,0,0.2431
1,9.0,0.11062,-0.02899,0.92583,0,0,0.2598
1,9.0,0.12816,0.01661,0.80687,1,1,0.2727
1,9.0,0.12493,0.04548,1.14801,1,1,0.2635
1,9.0,0.12219,-0.04067,4.18325,0,0,0.2867
1,9.0,0.15426,-0.03669,0.92466,1,1,0.2455
1,9.0,0.12168,0.00166,0.87191,0,0,0.4123
1,9.0,0.12431,0.01111,1.07956,1,1,0.2874
1,9.0,0.11512,-0.03632,0.808,0,0,0.291
1,9.0,0.14135,0.01519,0.85969,1,0,0.2828
1,9.0,0.13006,-0.09155,0.94986,1,1,0.3287
1,9.0,0.11645,0.00977,2.25394,1,1,0.3446
1,9.0,0.13089,-0.00813,0.88918,0,0,0.2647
1,9.0,0.13806,-0.05487,1.09361,0,0,0.2532
1,9.0,0.11928,-0.01841,2.93892,0,0,0.309
1,9.0,0.12513,0.04892,0.84114,0,0,0.2519
1,9.0,0.11376,0.01707,0.87706,0,0,0.1883
1,9.0,0.13047,-0.03957,0.93439,0,0,0.1864
1,9.0,0.13198,-0.01501,1.02616,1,1,0.2892
1,9.0,0.13366,-0.06874,1.24465,0,0,0.1818
1,9.0,0.12676,0.0557,0.8883,1,1,0.3991
1,9.0,0.13276,-0.00285,0.76516,0,0,0.206
1,9.0,0.13547,0.00391,1.93862,0,0,0.2141
1,9.0,0.13326,-0.04037,0.86686,1,1,0.3649
1,9.0,0.13133,-0.01358,1.82902,0,1,0.3555
1,9.0,0.13914,0.06421,1.00327,1,1,0.2177
1,9.0,0.13404,-0.00174,1.51546,0,0,0.2992
1,9.0,0.11908,0.00423,1.46935,0,0,0.2817
1,9.0,0.11665,0.03871,2.01794,1,1,0.2647
1,9.0,0.13221,-0.02258,0.88744,1,1,0.2612
1,9.0,0.12991,0.01301,1.06105,1,1,0.2629
1,9.0,0.12868,0.02551,0.77228,0,0,0.2302
1,9.0,0.13205,0.04701,0.80427,0,1,0.2587
1,9.0,0.13188,0.01177,0.88864,1,1,0.3883
1,9.0,0.13964,-0.02226,0.84196,1,1,0.3894
1,9.0,0.11111,-0.06754,0.87806,1,1,0.2196
1,9.0,0.13695,-0.0503,1.21681,1,1,0.2347
1,9.0,0.13202,-0.02217,1.2539,0,1,0.24
1,9.0,0.12953,-0.0506,3.07198,1,1,0.2485
1,9.0,0.12776,0.00985,1.15901,1,1,0.2515
1,9.0,0.13039,0.01367,1.07549,0,0,0.3657
1,9.0,0.13326,0.00184,0.81857,1,1,0.2855
1,9.0,0.13356,-0.02825,0.74728,1,1,0.2776
1,9.0,0.11895,-0.04352,0.82161,1,1,0.3953
1,9.0,0.1356,-0.01389,1.31404,0,0,0.417
1,9.0,0.1339,-0.02498,0.92593,1,1,0.2101
1,9.0,0.13831,0.06761,0.82274,0,0,0.4251
1,9.0,0.13862,0.00044,0.83887,0,1,0.3039
1,9.0,0.13239,0.00171,0.7894,0,0,0.3212
1,9.0,0.12912,0.01878,0.92843,0,0,0.2469
1,9.0,0.12988,0.05337,5.094,1,1,0.2776
1,9.0,0.12825,-0.09306,0.85372,0,0,0.2908
1,9.0,0.1426,-0.03311,0.83571,0,0,0.2842
1,9.0,0.12662,-0.00113,0.84273,0,0,0.4999
1,9.0,0.13204,-0.00025,0.89712,1,1,0.3142
1,9.0,0.1366,-0.0561,0.82171,1,1,0.3184
1,9.0,0.12393,-0.01058,1.31313,1,1,0.344
1,9.0,0.13424,-0.06591,1.05529,0,0,0.2875
