id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.896551724137931,0.06896551724137931,0.005,58,52,4,2,2,0,-1.0
2,4.0,0.5423728813559322,0.4406779661016949,0.02,59,32,26,8,1,4,0.0
3,4.0,0.9591836734693877,0.04081632653061224,0.005,49,47,2,2,0,1,0.333
4,4.0,0.5348837209302325,0.4186046511627907,0.0225,43,23,18,9,2,0,0.167
5,4.0,0.9180327868852459,0.08196721311475409,0.0125,61,56,5,5,0,1,0.5
6,4.0,0.8421052631578947,0.12280701754385964,0.02,57,48,7,8,2,1,0.667
7,4.0,0.7397260273972602,0.2465753424657534,0.0125,73,54,18,5,1,1,0.833
