id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.8461538461538461,0.1282051282051282,0.009166666666666667,78,66,10,11,2,7,-1.0
2,4.0,0.803921568627451,0.19607843137254902,0.0033333333333333335,51,41,10,4,0,2,0.0
3,8.0,0.34285714285714286,0.5857142857142857,0.004166666666666667,70,24,41,5,5,3,0.0
4,6.929,0.4642857142857143,0.42857142857142855,0.008333333333333333,56,26,24,10,6,3,0.083
5,8.0,0.15714285714285714,0.6857142857142857,0.0025,70,11,48,3,11,2,0.167
6,6.929,0.07246376811594203,0.8115942028985508,0.0033333333333333335,69,5,56,4,8,6,0.25
7,8.0,0.06666666666666667,0.8666666666666667,0.0025,60,4,52,3,4,0,0.333
8,6.929,0.18,0.76,0.0008333333333333334,50,9,38,1,3,2,0.417
9,4.0,0.6481481481481481,0.3148148148148148,0.009166666666666667,54,35,17,11,2,7,0.333
10,4.0,0.6909090909090909,0.2909090909090909,0.01,55,38,16,12,1,4,0.167
11,4.0,0.7638888888888888,0.2361111111111111,0.006666666666666667,72,55,17,8,0,4,0.5
12,8.0,0.28125,0.609375,0.0033333333333333335,64,18,39,4,7,0,0.5
13,6.929,0.6666666666666666,0.2898550724637681,0.005,69,46,20,6,3,4,0.583
14,4.0,0.8142857142857143,0.18571428571428572,0.0125,70,57,13,15,0,11,0.667
15,4.0,0.696969696969697,0.2878787878787879,0.005,66,46,19,6,1,5,0.833
16,6.929,0.43333333333333335,0.5,0.0025,60,26,30,3,4,1,0.917
17,8.0,0.3114754098360656,0.5737704918032787,0.011666666666666667,61,19,35,14,7,1,0.833
18,6.929,0.3333333333333333,0.5757575757575758,0.014166666666666666,66,22,38,17,6,5,0.75
19,8.0,0.4067796610169492,0.5084745762711864,0.01,59,24,30,12,5,8,0.667
