location,ecc,orientation,hit_rate,miss_rate,n_present
1,0.0,-1.0,0.9535203520352035,0.03809130913091309,7272
2,4.0,0.0,0.4983909332587099,0.44662095984329087,7147
3,8.0,0.0,0.0,0.0,0
4,6.929,0.083,0.0,0.0,0
5,8.0,0.167,0.0,0.0,0
6,6.929,0.25,0.0,0.0,0
7,8.0,0.333,0.0,0.0,0
8,6.929,0.417,0.0,0.0,0
9,4.0,0.333,0.8816967359867787,0.09915989533122159,7261
10,4.0,0.167,0.5608665269042628,0.390356394129979,7155
11,4.0,0.5,0.9266323263260476,0.06501461784769595,7183
12,8.0,0.5,0.0,0.0,0
13,6.929,0.583,0.0,0.0,0
14,4.0,0.667,0.7960469779432827,0.1793182469206531,6982
15,4.0,0.833,0.6452857142857142,0.31657142857142856,7000
16,6.929,0.917,0.0,0.0,0
17,8.0,0.833,0.0,0.0,0
18,6.929,0.75,0.0,0.0,0
19,8.0,0.667,0.0,0.0,0
