id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.8679245283018868,0.11320754716981132,0.012437810945273632,53,46,6,10,1,5,-1.0
2,4.0,0.7575757575757576,0.24242424242424243,0.0024875621890547263,33,25,8,2,0,1,0.0
3,8.0,0.3181818181818182,0.6136363636363636,0.0037313432835820895,44,14,27,3,3,1,0.0
4,6.929,0.5833333333333334,0.3055555555555556,0.006218905472636816,36,21,11,5,4,2,0.083
5,8.0,0.21739130434782608,0.5869565217391305,0.0012437810945273632,46,10,27,1,9,1,0.167
6,6.929,0.06666666666666667,0.8,0.0024875621890547263,45,3,36,2,6,3,0.25
7,8.0,0.04878048780487805,0.8780487804878049,0.0037313432835820895,41,2,36,3,3,0,0.333
8,6.929,0.13333333333333333,0.8666666666666667,0.0012437810945273632,30,4,26,1,0,1,0.417
9,4.0,0.5151515151515151,0.42424242424242425,0.008706467661691543,33,17,14,7,2,7,0.333
10,4.0,0.6666666666666666,0.3055555555555556,0.011194029850746268,36,24,11,9,1,3,0.167
11,4.0,0.6923076923076923,0.3076923076923077,0.009950248756218905,39,27,12,8,0,4,0.5
12,8.0,0.22916666666666666,0.625,0.0037313432835820895,48,11,30,3,7,0,0.5
13,6.929,0.6666666666666666,0.28888888888888886,0.006218905472636816,45,30,13,5,2,4,0.583
14,4.0,0.7959183673469388,0.20408163265306123,0.017412935323383085,49,39,10,14,0,11,0.667
15,4.0,0.673469387755102,0.30612244897959184,0.006218905472636816,49,33,15,5,1,4,0.833
16,6.929,0.35714285714285715,0.5476190476190477,0.0024875621890547263,42,15,23,2,4,0,0.917
17,8.0,0.34146341463414637,0.5121951219512195,0.011194029850746268,41,14,21,9,6,1,0.833
18,6.929,0.25,0.6458333333333334,0.009950248756218905,48,12,31,8,5,3,0.75
19,8.0,0.34210526315789475,0.5526315789473685,0.008706467661691543,38,13,21,7,4,7,0.667
