id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.9354838709677419,0.04838709677419355,0.004987531172069825,62,58,3,2,1,0,-1.0
2,4.0,0.896551724137931,0.10344827586206896,0.0024937655860349127,58,52,6,1,0,1,0.0
9,4.0,0.8620689655172413,0.13793103448275862,0.00997506234413965,58,50,8,4,0,0,0.333
10,4.0,0.90625,0.09375,0.0024937655860349127,64,58,6,1,0,0,0.167
11,4.0,0.9,0.08,0.00997506234413965,50,45,4,4,1,1,0.5
14,4.0,0.9555555555555556,0.044444444444444446,0.012468827930174564,45,43,2,5,0,0,0.667
15,4.0,0.8709677419354839,0.12903225806451613,0.0024937655860349127,62,54,8,1,0,0,0.833
