id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.8653846153846154,0.1346153846153846,0.004739336492890996,52,45,7,2,0,1,-1.0
2,4.0,0.8125,0.1875,0.002369668246445498,48,39,9,1,0,0,0.0
9,4.0,0.7843137254901961,0.19607843137254902,0.009478672985781991,51,40,10,4,1,0,0.333
10,4.0,0.8548387096774194,0.11290322580645161,0.002369668246445498,62,53,7,1,2,0,0.167
11,4.0,0.94,0.04,0.014218009478672985,50,47,2,6,1,0,0.5
14,4.0,0.8793103448275862,0.10344827586206896,0.04028436018957346,58,51,6,17,1,4,0.667
15,4.0,0.8771929824561403,0.10526315789473684,0.0071090047393364926,57,50,6,3,1,1,0.833
