location,ecc,orientation,hit_rate_session1,miss_rate_session1,hit_rate_session2,miss_rate_session2,hit_rate_session3,miss_rate_session3,hit_rate,miss_rate,n_present
1,0.0,-1.0,0.9795918367346939,0.02040816326530612,0.8653846153846154,0.1346153846153846,0.9354838709677419,0.04838709677419355,0.9263803680981595,0.06748466257668712,163
2,4.0,0.0,0.8620689655172413,0.13793103448275862,0.8125,0.1875,0.896551724137931,0.10344827586206896,0.8597560975609756,0.1402439024390244,164
3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,6.929,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,8.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6.929,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,8.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,6.929,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,4.0,0.333,0.7192982456140351,0.2631578947368421,0.7843137254901961,0.19607843137254902,0.8620689655172413,0.13793103448275862,0.7891566265060241,0.19879518072289157,166
10,4.0,0.167,0.7627118644067796,0.22033898305084745,0.8548387096774194,0.11290322580645161,0.90625,0.09375,0.8432432432432433,0.14054054054054055,185
11,4.0,0.5,0.8611111111111112,0.125,0.94,0.04,0.9,0.08,0.8953488372093024,0.0872093023255814,172
12,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,6.929,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,4.0,0.667,0.9649122807017544,0.03508771929824561,0.8793103448275862,0.10344827586206896,0.9555555555555556,0.044444444444444446,0.93125,0.0625,160
15,4.0,0.833,0.8405797101449275,0.13043478260869565,0.8771929824561403,0.10526315789473684,0.8709677419354839,0.12903225806451613,0.8617021276595744,0.12234042553191489,188
16,6.929,0.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,8.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,6.929,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,8.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
